url	Project	Assembly	Biosource	Assay	Replicate	Dataset	Description	Lab	Publications	Accession	Experiment
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/dcd66a07-55ee-48d9-a157-419cf4ee3eef/4DNFISWC2N8T.hic	External	galGal5	DT40 with random integration of GFP and AID-tagged SMC2 gene, random integration of X. laevis Cdk1, CDK1 disruption, random integration of SMC2 gene, SMC2 gene deletion	HindIII	merged replicates	HiC on unsorted sync. SMC2-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFISWC2N8T	DNESWJXT6RB
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/40363837-7466-4a1d-b20d-a66d1670b700/4DNFICMPHDMI.hic	External	galGal5	DT40 with random integration of GFP and AID-tagged SMC2 gene, random integration of X. laevis Cdk1, CDK1 disruption, random integration of SMC2 gene, SMC2 gene deletion	HindIII	unreplicated	HiC on sorted sync. SMC2-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFICMPHDMI	DNESN22I1UM
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/0b3fa4e6-caeb-40b4-8942-e9c0b03dfe4f/4DNFIKMKN736.hic	External	galGal5	DT40 with random integration of GFP and AID-tagged SMC2 gene, random integration of X. laevis Cdk1, CDK1 disruption, random integration of SMC2 gene, SMC2 gene deletion	HindIII	unreplicated	HiC on sorted sync. SMC2-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIKMKN736	DNESFWDJJSL
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/b6a34050-d52b-4880-91cf-d3fe4b0ce982/4DNFIN5NLS49.hic	External	galGal5	DT40 with random integration of GFP and AID-tagged SMC2 gene, random integration of X. laevis Cdk1, CDK1 disruption, random integration of SMC2 gene, SMC2 gene deletion	HindIII	unreplicated	HiC on sorted sync. SMC2-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIN5NLS49	DNES7QUTR6Z
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/8e63a47b-9fd4-4772-8b0c-10ee589ffb16/4DNFI4P8UBRL.hic	External	galGal5	DT40 with random integration of GFP and AID-tagged SMC2 gene, random integration of X. laevis Cdk1, CDK1 disruption, random integration of SMC2 gene, SMC2 gene deletion	HindIII	unreplicated	HiC on sorted sync. SMC2-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFI4P8UBRL	DNESE5Q29E1
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/7d92b666-30cc-4838-9d46-c1f11cee3d3c/4DNFISNC3LAI.hic	External	galGal5	DT40 with random integration of X. laevis Cdk1, CDK1 disruption	HindIII	unreplicated	HiC on sorted sync. chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFISNC3LAI	DNESJWNFMOD
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/17f7dc63-a1bc-4970-b389-87d9ee93b753/4DNFIVBWPFD7.hic	External	galGal5	DT40 with random integration of X. laevis Cdk1, CDK1 disruption	HindIII	unreplicated	HiC on sorted sync. chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIVBWPFD7	DNESXDOBP9L
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/f8897333-4791-4a83-9444-a653e24aee13/4DNFITMQRXB7.hic	External	galGal5	DT40 with random integration of X. laevis Cdk1, CDK1 disruption	HindIII	unreplicated	HiC on sorted sync. chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFITMQRXB7	DNESE3U35ZL
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/8712bf31-33d0-4562-ab0b-a1e9cf4fd30c/4DNFIUYD3HBY.hic	External	galGal5	DT40 with random integration of X. laevis Cdk1, CDK1 disruption	HindIII	unreplicated	HiC on sorted sync. chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIUYD3HBY	DNES6GBBV5D
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/bfaf6383-9cc6-4b5c-9b20-d3bf2e8c3495/4DNFIRRSC7P9.hic	External	galGal5	DT40 with random integration of X. laevis Cdk1, CDK1 disruption	HindIII	unreplicated	HiC on sync. chicken cells (no 1NM-PP1 washout)		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIRRSC7P9	DNESOL4SYQN
